Product	Date	Region	Sales
FlatTop	4/22/2016	West	1188
Sunset	4/22/2016	South	1202
Aspen	4/22/2016	East	296
Sunset	4/23/2016	South	272
Aspen	4/23/2016	West	1114
Quad	4/23/2016	West	471
Yanaki	4/23/2016	East	757
Carlota	4/23/2016	East	958
Aspen	4/23/2016	West	490
Carlota	4/23/2016	East	443
Aspen	4/23/2016	West	845
Sunset	4/24/2016	West	572
Carlota	4/24/2016	East	990
Sunset	4/24/2016	South	1206
Carlota	4/24/2016	East	1115
Aspen	4/24/2016	East	997
Carlota	4/25/2016	East	1135
FlatTop	4/25/2016	West	1200
FlatTop	4/25/2016	West	667
Carlota	4/25/2016	West	977
Sunset	4/26/2016	West	688
Sunset	4/26/2016	South	886
Carlota	4/26/2016	West	1184
FlatTop	4/26/2016	West	455
FlatTop	4/26/2016	East	438
Aspen	4/26/2016	South	789
Sunset	4/26/2016	East	941
Quad	4/26/2016	South	729
Quad	4/26/2016	West	678
Quad	4/27/2016	East	305
Sunset	4/27/2016	East	535
Sunset	4/27/2016	West	793
FlatTop	4/28/2016	West	1175
FlatTop	4/28/2016	West	1086
Carlota	4/28/2016	South	808
Quad	4/28/2016	West	289
Carlota	4/28/2016	West	509
Aspen	4/28/2016	West	599
Aspen	4/28/2016	East	453
FlatTop	4/28/2016	South	544
Aspen	4/28/2016	East	571
Carlota	4/28/2016	East	756
Aspen	4/28/2016	South	813
Yanaki	4/29/2016	East	241
Aspen	4/29/2016	West	284
Sunset	4/29/2016	West	692
Carlota	4/29/2016	West	927
Quad	4/29/2016	East	1083
FlatTop	4/29/2016	South	953
Yanaki	4/30/2016	South	531
Carlota	4/30/2016	South	360
Yanaki	4/30/2016	East	912
FlatTop	4/30/2016	West	496
